product_name,description1,description2,description3
Toalettpapper 6-p Miljömärkt ICA,,"0.648kg, (Ord jmf 58,56 kr/kg)","3 för 75 kr -- Stammispris3 för 75 kr37,95 kr/st"
Risgröt 500g Felix,,"0.5kg, (Ord jmf 27,00 kr/kg), Max 1 erbj/hushåll","3 för 30 kr -- Max 1 erbj/hushåll3 för 30 kr13,50 kr/st"
Bacon 140g Scan,,"0.14kg, (Ord jmf 103,57 kr/kg), Max 1 erbj/hushåll","3 för 33 kr -- Max 1 erbj/hushåll3 för 33 kr14,50 kr/st"
Mango Fryst 250g ICA,,"0.25kg, (Ord jmf 75,80 kr/kg)","15 kr/st -- Stammispris15 kr18,95 kr"
Broccolibuketter Fryst 800g ICA,,"0.8kg, (Erbj jmf 21,13 kr/kg), Max 2 erbj/hushåll","16,90 kr/st -- Max 2 erbj/hushåll16,90 kr25,95 kr"
Yoghurt Original Jordgubb & smultron 2% 1000g Yoggi®,,"1kg, (Ord jmf 24,50 kr/kg), Max 1 erbj/hushåll, Sverige","2 för 35 kr -- Max 1 erbj/hushåll2 för 35 kr24,50 kr/st"
Chokladkaka Mjölkchoklad 200g Marabou,,"0.2kg, (Ord jmf 114,75 kr/kg)","3 för 60 kr3 för 60 kr22,95 kr/st"
Cottage cheese Naturell 4% 500g KESO®,,"0.5kg, (Erbj jmf 50,00 kr/kg), Sverige","25 kr/st25 kr29,95 kr"
Hushållspapper Mat & kök 4-p Miljömärkt ICA,,"0.532kg, (Ord jmf 58,18 kr/kg)","3 för 75 kr -- Stammispris3 för 75 kr30,95 kr/st"
Feta 150g Zeta,,"0.15kg, (Erbj jmf 159,33 kr/kg)","23,90 kr/st23,90 kr25,95 kr"
Zero 33cl 10-p Coca-Cola,,"3.3L, (Erbj jmf 12,09 kr/l exkl pant), Max 2 erbj/hushåll, Pant 10,00 kr","39,90 kr/st -- Max 2 erbj/hushåll39,90 kr62,95 kr"
Lövbiff Innanlår ca 450g ICA,,"Ca0.45kg, (Erbj jmf 169,01 kr/kg), Sverige","169 kr/kgCa 76,05 kr87,75 kr"
Skinka Basturökt 120g Lönneberga,,"0.12kg, (Ord jmf 241,25 kr/kg), Sverige","2 för 40 kr2 för 40 kr28,95 kr/st"
"Nötfärs finmald 12% ca 1,6kg ICA",,"Ca1.6kg, (Erbj jmf 99,00 kr/kg), Sverige","99 kr/kgCa 158,39 kr171,20 kr"
Morötter Ekologiska 1kg KRAV Klass 1 ICA I,,"1kg, (Ord jmf 31,95 kr/kg), Sverige","15 kr/st -- Stammispris15 kr31,95 kr"
Ost & skinkpaj Fryst 220g Felix,,"0.22kg, (Ord jmf 136,14 kr/kg)","3 för 79 kr3 för 79 kr29,95 kr/st"
Krossade Tomater 390g KRAV ICA I love eco,,"0.39kg, (Ord jmf 37,18 kr/kg)","2 för 22 kr2 för 22 kr14,50 kr/st"
"Havregryn 1,5kg ICA",,"1.5kg, (Erbj jmf 10,00 kr/kg), Max 2 erbj/hushåll","15 kr/st -- Max 2 erbj/hushåll15 kr22,95 kr"
Tandkräm Original 75ml Sensodyne,,"0.075L, (Ord jmf 359,33 kr/l)","2 för 45 kr2 för 45 kr26,95 kr/st"
LantGoda Surdegsbröd 650g Pågen,,"0.65kg, (Erbj jmf 38,46 kr/kg), Sverige","25 kr/st25 kr32,50 kr"
Ärter med fläsk 500g Felix,,"0.5kg, (Ord jmf 23,00 kr/kg), Max 1 erbj/hushåll","3 för 30 kr -- Max 1 erbj/hushåll3 för 30 kr11,50 kr/st"
Potatisklyftor med skal Fryst 800g ICA,,"0.8kg, (Ord jmf 28,69 kr/kg)","2 för 30 kr2 för 30 kr22,95 kr/st"
Citron Primofiori 1-p Klass 1 ICA,,"0.2kg, (Ord jmf 44,75 kr/kg), Sydafrika","4 för 20 kr4 för 20 kr8,95 kr/st"
Tomatpuré 200g ICA,,"0.2kg, (Ord jmf 77,50 kr/kg)","2 för 29 kr2 för 29 kr15,50 kr/st"
Tvättservetter Baby Oparfymerade 72-p ICA,,"72 per frp, (Ord jmf 0,26 kr/st)","3 för 50 kr3 för 50 kr18,50 kr/st"
Lime 1-p Klass 1 ICA,,"0.09kg, (Ord jmf 55,56 kr/kg), Brasilien","5 för 20 kr5 för 20 kr5,00 kr/st"
Kikärtor 380g ICA,,"0.23kg, (Ord jmf 43,26 kr/kg u. spad)","3 för 25 kr3 för 25 kr9,95 kr/st"
Spirali 500g ICA,,"0.5kg, (Ord jmf 27,90 kr/kg)","3 för 35 kr3 för 35 kr13,95 kr/st"
Fryspåsar 3l 40-p ICA,,"40 per frp, (Ord jmf 0,44 kr/st)","3 för 40 kr3 för 40 kr17,50 kr/st"
Penne Rigate 500g ICA,,"0.5kg, (Ord jmf 27,90 kr/kg)","3 för 35 kr3 för 35 kr13,95 kr/st"
Tacoost Riven 150g ICA,,"0.15kg, (Ord jmf 153,00 kr/kg)","2 för 40 kr2 för 40 kr22,95 kr/st"
Gnocchi 500g ICA,,"0.5kg, (Ord jmf 27,90 kr/kg)","3 för 35 kr3 för 35 kr13,95 kr/st"
Choklad Dubbel nougat 43g Marabou,,"0.043kg, (Ord jmf 197,67 kr/kg)","4 för 30 kr4 för 30 kr8,50 kr/st"
Farfalle 500g ICA,,"0.5kg, (Ord jmf 27,90 kr/kg)","3 för 35 kr3 för 35 kr13,95 kr/st"
Fruktdryck Päron 3-p 60cl ICA,,"0.6L, (Ord jmf 14,92 kr/l)","3 för 24 kr3 för 24 kr8,95 kr/st"
Bönor Svarta 380g ICA,,"0.23kg, (Ord jmf 43,26 kr/kg u. spad)","3 för 25 kr3 för 25 kr9,95 kr/st"
Kidneybönor 380g ICA,,"0.23kg, (Ord jmf 43,26 kr/kg u. spad)","3 för 25 kr3 för 25 kr9,95 kr/st"
Stora Bönor Vita 380g ICA,,"0.23kg, (Ord jmf 43,26 kr/kg u. spad)","3 för 25 kr3 för 25 kr9,95 kr/st"
Sandwich Tomato & Basil 40g Wasa,,"0.04kg, (Ord jmf 212,50 kr/kg)","4 för 30 kr4 för 30 kr8,50 kr/st"
"Mellanmjölk Lite längre hållbarhet 1,5% 1,5l ICA",,"1.5L(11,47 kr/l), Sverige","17,20 kr"
Gurka styck 1 pack Klass 1 ICA,,"0.38kg(39,21 kr/kg), Sverige","14,90 kr"
Krossade Tomater 500g ICA,,"0.5kg(23,00 kr/kg)","11,50 kr"
"Färsk mellanmjölk 1,5% 1,5l Arla Ko®",,"1.5L(11,30 kr/l), Sverige","16,95 kr"
Vispgrädde 36% Längre hållbarhet 5dl ICA,,"0.5L(49,90 kr/l), Sverige","24,95 kr"
Smör Normalsaltat 82% 500g Svenskt Smör från Arla,,"0.5kg(109,90 kr/kg), Sverige","54,95 kr"
"Mellanmjölkdryck 1,5% Laktosfri 1,5l Arla Ko®",,"1.5L(15,00 kr/l), Sverige","22,50 kr"
Nudlar Kycklingsmak 85g Samyang,,"0.085kg(58,24 kr/kg)","4,95 kr"
Morötter nyskördade 1kg Klass 1 ICA,,"1kg(21,95 kr/kg), Sverige","21,95 kr"
"Läsk Pepsi Max 1,5l",,"1.5L(12,33 kr/l exkl pant), Pant 2,00 kr","18,50 kr"
Nudlar Biff 85g Samyang,,"0.085kg(58,24 kr/kg)","4,95 kr"
Falukorv Klassikern 800g Scan,,"0.8kg(46,88 kr/kg), Sverige","37,50 kr"
Havredryck iKaffe 1l Oatly,,"1L(20,95 kr/l)","20,95 kr"
Smör & rapsolja Normalsaltat 600g Bregott®,,"0.6kg(94,92 kr/kg), Sverige","56,95 kr"
Laxfilé Fryst 4-p 500g Pacific brand,,"0.5kg(258,00 kr/kg)","129,00 kr"
Druvor Thompson Seedless Gröna kärnfria 500g Klass 1 ICA,,"0.5kg(69,90 kr/kg), Egypten","34,95 kr"
Lingongrova 500g Pågen,,"0.5kg(49,90 kr/kg), Sverige","24,95 kr"
Avfallspåse 30L 20-pack ICA,,"20 per frp(1,25 kr/st)","24,90 kr"
Kvisttomater Romantica 400g Klass 1 ICA,,"0.4kg(112,38 kr/kg), Spanien","44,95 kr"
Majs 3-p 480g Green Giant,,"0.42kg(66,55 kr/kg u. spad)","27,95 kr"
Röda babyplommontomater 250g Klass 1 ICA,,"0.25kg(107,80 kr/kg), Spanien","26,95 kr"
Babytvättservetter parfymfri 72-p ICA Basic,,"72 per frp(0,16 kr/st)","11,50 kr"
Bacon Skivat 3-p 420g ICA,,"0.42kg(85,60 kr/kg), Sverige","35,95 kr"
Gourmetskinka Rökt 200g Pärsons,,"0.2kg(149,75 kr/kg), Sverige","29,95 kr"
"Mellanmjölk 1,5% 1l ICA",,"1L(10,50 kr/l), Sverige","10,50 kr"
Matlagningsgrädde 13% 5dl ICA,,"0.5L(43,00 kr/l)","21,50 kr"
"Mjölkdryck 1,3% 1,5l Klöver®",,"1.5L(11,13 kr/l), Sverige","16,70 kr"
Paprika Röd 1 pack Klass 1 ICA,,"Ca0.18kg(59,95 kr/kg), Nederländerna","Ca10,79 kr"
Nötfärs finmald 12% ca 1kg ICA,,"Ca1kg(108,00 kr/kg), Sverige","Ca108,00 kr"
Bryggkaffe Mellanrost 450g Löfbergs,,"0.45kg(104,33 kr/kg)","46,95 kr"
Crème fraiche 32% 2dl ICA,,"0.2L(64,75 kr/l)","12,95 kr"
Röd spetsig paprika 200g Klass 1 ICA,,"0.2kg(124,75 kr/kg), Spanien","24,95 kr"
Avokado Mogen 3-p Klass 1 ICA,,"0.32kg(112,34 kr/kg), Chile","35,95 kr"
Tortilla Original 8-p 320g Santa Maria,,"0.32kg(52,97 kr/kg)","16,95 kr"
Champinjon 250g ICA,,"0.25kg(79,80 kr/kg), Polen","19,95 kr"
Tortilla Medium 8-p 320g ICA,,"0.32kg(43,59 kr/kg)","13,95 kr"
Avfallspåse 20-pack ICA Skona,,"20 per frp(1,15 kr/st)","22,90 kr"
Jordgubb 175g RisiFrutti,,"0.175kg(65,71 kr/kg)","11,50 kr"
Kycklingfilé Fryst 1kg Kronfågel,,"1kg(108,00 kr/kg), Sverige","108,00 kr"
Nudlar Kryddstark 85g Samyang,,"0.085kg(58,24 kr/kg)","4,95 kr"
Gräddfil 12% 3dl ICA,,"0.3L(38,33 kr/l)","11,50 kr"
Falukorv Ring 800g ICA,,"0.8kg(42,44 kr/kg), Sverige","33,95 kr"
"Standardmjölk 3% 1,5l ICA",,"1.5L(11,47 kr/l), Sverige","17,20 kr"
"Läsk Coca-Cola Zero 1,5l",,"1.5L(12,33 kr/l exkl pant), Pant 2,00 kr","18,50 kr"
Babyplommontomater 500g Klass 1 ICA,,"0.5kg(97,90 kr/kg), Marocko","48,95 kr"
Jäst för matbröd 50g Kronjäst,,"0.05kg(70,00 kr/kg)","3,50 kr"
Potatisgratäng 800g Peka,,"0.8kg(34,38 kr/kg)","27,50 kr"
Crème fraiche 32% 5dl ICA,,"0.5L(59,90 kr/l)","29,95 kr"
Passerade Tomater 500g ICA,,"0.5kg(23,00 kr/kg)","11,50 kr"
Mozzarella 125g ICA Basic,,"0.125kg(95,60 kr/kg u. spad)","11,95 kr"
Druvor Crimson Röda kärnfria 500g Klass 1 ICA,,"0.5kg(69,90 kr/kg), Sydafrika","34,95 kr"
Fast potatis 2kg Klass 1 ICA,,"2kg(14,98 kr/kg), Sverige","29,95 kr"
Banan 5-7 pack Klass 1 ICA,,"Ca1kg(19,95 kr/kg), Costa Rica","Ca19,95 kr"
Karins Lasagne 390g Dafgård,,"0.39kg(76,79 kr/kg)","29,95 kr"
Romansallat i påse 200g Klass 1 ICA,,"0.2kg(74,75 kr/kg), Spanien","14,95 kr"
Smör- & rapsolja flytande 5dl Arla Köket®,,"0.5L(51,90 kr/l), Sverige","25,95 kr"
"Färsk mellanmjölk 1,5% 1l Arla Ko®",,"1L(12,50 kr/l), Sverige","12,50 kr"
Feta 150g ICA,,"0.15kg(159,67 kr/kg)","23,95 kr"
"Färsk standardmjölk 3,0% 1,5l Arla Ko®",,"1.5L(11,87 kr/l), Sverige","17,80 kr"
Läsk Coca-Cola Zero 2l,,"2L(11,98 kr/l exkl pant), Pant 2,00 kr","23,95 kr"
Chicken nuggets Fryst 350g Guldfågeln,,"0.35kg(107,14 kr/kg), Sverige","37,50 kr"
"Mellanmjölkdryck Laktosfri 1,5% 1,5l ICA",,"1.5L(13,67 kr/l)","20,50 kr"
Smör & rapsolja Mellan 600g Bregott®,,"0.6kg(93,25 kr/kg), Sverige","55,95 kr"
Juice Apelsin 1l God Morgon®,,"1L(20,95 kr/l)","20,95 kr"
Vispgrädde Laktosfri 36% 5dl ICA,,"0.5L(55,00 kr/l)","27,50 kr"
Banan Eko 5-7 pack Klass 1 ICA,,"Ca1kg(26,95 kr/kg), Ecuador","Ca26,95 kr"
Finbladig babyspenat Sköljd 65g ICA,,"0.065kg(245,38 kr/kg), Spanien","15,95 kr"
Tonfisk i vatten 170g ICA,,"0.12kg(166,25 kr/kg u. spad)","19,95 kr"
Crème fraiche Lätt 13% 2dl ICA,,"0.2L(59,75 kr/l)","11,95 kr"
Gul lök 500g Klass 1 ICA,,"0.5kg(37,90 kr/kg), Sverige","18,95 kr"
"Finkrossade Tomater 3-p 1,2kg Mutti",,"1.2kg(30,79 kr/kg)","36,95 kr"
Havredryck Naturell 1l ICA,,"1L(15,50 kr/l)","15,50 kr"
Blandfärs 50/50 21% ca 1kg ICA,,"Ca1kg(91,00 kr/kg), Sverige","Ca91,00 kr"
Kvisttomat röd 4 pack Klass 1 ICA,,"Ca0.48kg(34,95 kr/kg), Spanien","Ca16,78 kr"
Kvisttomater Piccolini 200g Klass 1 ICA,,"0.2kg(149,75 kr/kg), Nederländerna","29,95 kr"
Majskakor Popcorn 125g Friggs,,"0.125kg(172,00 kr/kg)","21,50 kr"
Skärgårdskaka Hönö 750g Pågen,,"0.75kg(47,33 kr/kg), Sverige","35,50 kr"
Grillkorv Extra fin 75% kötthalt 500g ICA,,"0.5kg(69,00 kr/kg), Sverige","34,50 kr"
Hushållspapper Mat & kök 8-p Miljömärkt ICA,,"1.064kg(53,52 kr/kg)","56,95 kr"
Kycklingbröstfiléer Fryst 1kg Guldfågeln,,"1kg(114,00 kr/kg), Sverige","114,00 kr"
Pizzakit 1-p 600g ICA,,"0.6kg(44,92 kr/kg)","26,95 kr"
Rosta Rostbröd 450g Pågen,,"0.45kg(45,56 kr/kg), Sverige","20,50 kr"
"Färsk lättmjölk 0,5% 1,5l Arla Ko®",,"1.5L(10,93 kr/l), Sverige","16,40 kr"
Halloumi 200g ICA,,"0.2kg(149,75 kr/kg)","29,95 kr"
Pågenlimpan 900g Pågen,,"0.9kg(36,61 kr/kg), Sverige","32,95 kr"
"Mellanmjölk Laktosfri 1,5% 1,5l Valio Eila",,"1.5L(16,33 kr/l)","24,50 kr"
Kexchoklad 60g Cloetta,,"0.06kg(141,67 kr/kg)","8,50 kr"
Nötfärs 12% 500g ICA,,"0.5kg(117,90 kr/kg)","58,95 kr"
"Hushållsost mild 26% ca 1,1kg Arla",,"Ca1.1kg(111,00 kr/kg)","Ca122,10 kr"
Bacon 3-pack 420g Scan,,"0.42kg(102,26 kr/kg)","42,95 kr"
Korvbröd 16-p 432g Korvbrödsbagarn,,"0.432kg(50,81 kr/kg), Sverige","21,95 kr"
"Mellanmjölk 1,5% Ekologisk 1,5l Arla Ko®",,"1.5L(12,63 kr/l), Sverige","18,95 kr"
Havredryck Barista Glutenfri 1l Valio Oddlygood®,,"1L(19,50 kr/l)","19,50 kr"
Vispgrädde 36% 5dl Arla Köket®,,"0.5L(57,00 kr/l), Sverige","28,50 kr"
Fläskytterfilé mörmarinerad ca 1kg ICA,,"Ca1kg(95,00 kr/kg), Sverige","Ca95,00 kr"
"Färsk standardmjölk 3,0% 1l Arla Ko®",,"1L(12,95 kr/l), Sverige","12,95 kr"
Mild yoghurt Naturell 3% 1000g Arla Ko®,,"1kg(16,95 kr/kg), Sverige","16,95 kr"
Toalettpapper 24-p Miljömärkt ICA,,"2.592kg(49,00 kr/kg)","127,00 kr"
Skogaholmslimpa skivad 775g Skogaholms,,"0.775kg(36,06 kr/kg)","27,95 kr"
Mozzarella 125g Galbani,,"0.125kg(148,00 kr/kg u. spad)","18,50 kr"
